  Time                 , V(y1)                , V(y2)                
  9.983053573400e-02  ,-9.798495276838e-01  ,3.226641505752e-01  
  9.983103574544e-02  ,-7.845199360713e-01  ,3.170131298569e-01  
  9.983153575689e-02  ,-5.713829000180e-01  ,3.114699361744e-01  
  9.983203576833e-02  ,-3.491020521822e-01  ,3.060302808683e-01  
  9.983253577978e-02  ,-1.248900392090e-01  ,3.006904748353e-01  
  9.983303579122e-02  ,9.261539414871e-02  ,2.954466092175e-01  
  9.983353580267e-02  ,2.883643185811e-01  ,2.902965398791e-01  
  9.983403581411e-02  ,4.388282786551e-01  ,2.858537830853e-01  
  9.983453582555e-02  ,5.212139076192e-01  ,2.891144120429e-01  
  9.983503583700e-02  ,5.343474571911e-01  ,2.998932850684e-01  
  9.983553584844e-02  ,4.838859750895e-01  ,3.019792683308e-01  
  9.983603585989e-02  ,3.726119164966e-01  ,2.982027241677e-01  
  9.983653587133e-02  ,2.165118193023e-01  ,2.929011832221e-01  
  9.983703588277e-02  ,2.944070860220e-02  ,2.876498899426e-01  
  9.983753589422e-02  ,-1.815258405767e-01  ,2.824685992353e-01  
  9.983803590566e-02  ,-4.049578782328e-01  ,2.773774723663e-01  
  9.983853591711e-02  ,-6.336308694045e-01  ,2.723771760008e-01  
  9.983903592855e-02  ,-8.612419454653e-01  ,2.674678403075e-01  
  9.983953593999e-02  ,-1.078018555151e+00  ,2.626508257877e-01  
  9.984003595144e-02  ,-1.265059558219e+00  ,2.579304049228e-01  
  9.984053596288e-02  ,-1.396068209603e+00  ,2.533131089648e-01  
  9.984103597433e-02  ,-1.453446255513e+00  ,2.488022694226e-01  
  9.984153598577e-02  ,-1.438083216043e+00  ,2.443954698699e-01  
  9.984203599721e-02  ,-1.360279713638e+00  ,2.400875204452e-01  
  9.984253600866e-02  ,-1.231113965942e+00  ,2.358733396450e-01  
  9.984303602010e-02  ,-1.062049064607e+00  ,2.317478739361e-01  
  9.984353603155e-02  ,-8.648026721922e-01  ,2.277061937597e-01  
  9.984403604299e-02  ,-6.499554087705e-01  ,2.237438145264e-01  
  9.984453605444e-02  ,-4.260186160607e-01  ,2.198570120116e-01  
  9.984503606588e-02  ,-1.999611179901e-01  ,2.160426977311e-01  
  9.984553607732e-02  ,2.005852077220e-02  ,2.122976747435e-01  
  9.984603608877e-02  ,2.195156494807e-01  ,2.086229160793e-01  
  9.984653610021e-02  ,3.745738802512e-01  ,2.060325436236e-01  
  9.984703611166e-02  ,4.605898980214e-01  ,2.150642029485e-01  
  9.984753612310e-02  ,4.784635342169e-01  ,2.340798050892e-01  
  9.984803613454e-02  ,4.319107291433e-01  ,2.403989003644e-01  
  9.984853614599e-02  ,3.229505316383e-01  ,2.382927433289e-01  
  9.984903615743e-02  ,1.689531018507e-01  ,2.340718204980e-01  
  9.984953616888e-02  ,-1.607663672590e-02  ,2.298687192542e-01  
  9.985003618032e-02  ,-2.251766104419e-01  ,2.257102314660e-01  
  9.985053619176e-02  ,-4.469327399191e-01  ,2.216237694648e-01  
  9.985103620321e-02  ,-6.739033403123e-01  ,2.176103974026e-01  
  9.985153621465e-02  ,-8.994082108332e-01  ,2.136706789695e-01  
  9.985203622610e-02  ,-1.113022997560e+00  ,2.098064972702e-01  
  9.985253623754e-02  ,-1.295403219523e+00  ,2.060225605722e-01  
  9.985303624898e-02  ,-1.421015371140e+00  ,2.023254126277e-01  
  9.985353626043e-02  ,-1.473697258466e+00  ,1.987182609918e-01  
  9.985403627187e-02  ,-1.454718297802e+00  ,1.951988490244e-01  
  9.985453628332e-02  ,-1.373891935948e+00  ,1.917624456191e-01  
  9.985503629476e-02  ,-1.242013377456e+00  ,1.884043450108e-01  
  9.985553630621e-02  ,-1.070524203385e+00  ,1.851197890374e-01  
  9.985603631765e-02  ,-8.711542812838e-01  ,1.819041197538e-01  
  9.985653632909e-02  ,-6.544454457836e-01  ,1.787531444752e-01  
  9.985703634054e-02  ,-4.287640970444e-01  ,1.756634791150e-01  
  9.985753635198e-02  ,-2.007876550467e-01  ,1.726324618454e-01  
